"","unitid","year","fips","student_faculty_ratio"
"337",118134,2018,6,16
"338",118143,2018,6,15
"339",118161,2018,6,14
"340",118189,2018,6,10
"341",118198,2018,6,21
"342",118347,2018,6,17
"343",118541,2018,6,17
"344",118684,2018,6,17
"345",118693,2018,6,13
"346",118718,2018,6,27
"347",118772,2018,6,27
"348",118888,2018,6,11
"349",118912,2018,6,19
"350",118930,2018,6,22
"351",118958,2018,6,15
"352",118976,2018,6,29
"353",118994,2018,6,21
"354",119058,2018,6,1
"355",119067,2018,6,23
"356",119137,2018,6,33
"357",119164,2018,6,24
"358",119173,2018,6,9
"359",119216,2018,6,28
"360",119270,2018,6,5
"361",119331,2018,6,18
"362",119553,2018,6,17
"363",119605,2018,6,19
"364",119775,2018,6,8
"365",119845,2018,6,15
"366",119951,2018,6,22
"367",120069,2018,6,27
"368",120078,2018,6,34
"369",120087,2018,6,17
"370",120184,2018,6,11
"371",120254,2018,6,9
"372",120290,2018,6,24
"373",120342,2018,6,29
"374",120403,2018,6,8
"375",120421,2018,6,31
"376",120537,2018,6,13
"377",120661,2018,6,25
"378",120698,2018,6,16
"379",120768,2018,6,5
"380",120838,2018,6,5
"381",120865,2018,6,12
"382",120883,2018,6,13
"383",120953,2018,6,29
"384",120971,2018,6,26
"385",121044,2018,6,26
"386",121150,2018,6,14
"387",121257,2018,6,10
"388",121275,2018,6,12
"389",121309,2018,6,14
"390",121345,2018,6,7
"391",121363,2018,6,27
"392",121433,2018,6,20
"393",121619,2018,6,35
"394",121637,2018,6,16
"395",121691,2018,6,12
"396",121707,2018,6,18
"397",121859,2018,6,18
"398",121868,2018,6,14
"399",121886,2018,6,30
"400",121901,2018,6,27
"401",121992,2018,6,23
"402",122117,2018,6,11
"403",122180,2018,6,25
"404",122205,2018,6,26
"405",122296,2018,6,10
"406",122339,2018,6,24
"407",122375,2018,6,26
"408",122384,2018,6,29
"409",122409,2018,6,27
"410",122436,2018,6,14
"411",122454,2018,6,9
"412",122506,2018,6,8
"413",122597,2018,6,23
"414",122612,2018,6,13
"415",122658,2018,6,35
"416",122685,2018,6,19
"417",122728,2018,6,12
"418",122746,2018,6,24
"419",122755,2018,6,26
"420",122791,2018,6,26
"421",122834,2018,6,6
"422",122852,2018,6,6
"423",122889,2018,6,27
"424",122931,2018,6,10
"425",122977,2018,6,30
"426",123013,2018,6,20
"427",123165,2018,6,10
"428",123217,2018,6,26
"429",123280,2018,6,5
"430",123299,2018,6,28
"431",123341,2018,6,24
"432",123350,2018,6,13
"433",123457,2018,6,11
"434",123484,2018,6,17
"435",123493,2018,6,20
"436",123509,2018,6,25
"437",123527,2018,6,24
"438",123554,2018,6,11
"439",123563,2018,6,23
"440",123572,2018,6,23
"441",123642,2018,6,15
"442",123651,2018,6,15
"443",123679,2018,6,27
"444",123800,2018,6,22
"445",123952,2018,6,11
"446",123961,2018,6,9
"447",124113,2018,6,37
"448",124292,2018,6,11
"449",124487,2018,6,9
"450",124681,2018,6,25
"451",124706,2018,6,29
"452",124937,2018,6,22
"453",125028,2018,6,30
"454",125091,2018,6,23
"455",125170,2018,6,31
"456",125231,2018,27,18
"457",125310,2018,6,15
"458",125462,2018,6,31
"459",125471,2018,6,26
"460",125499,2018,6,22
"461",125532,2018,6,15
"462",125727,2018,6,11
"463",125763,2018,6,11
"464",125897,2018,6,9
"465",126076,2018,6,19
"466",126119,2018,6,19
"467",126164,2018,8,11
"468",126182,2018,8,12
"469",126207,2018,8,16
"470",126289,2018,8,23
"471",126359,2018,8,24
"472",126562,2018,8,17
"473",126580,2018,8,18
"474",126605,2018,8,10
"475",126614,2018,8,18
"476",126669,2018,8,15
"477",126678,2018,8,10
"478",126687,2018,8,41
"479",126711,2018,8,12
"480",126748,2018,8,13
"481",126775,2018,8,15
"482",126784,2018,8,11
"483",126818,2018,8,16
"484",126827,2018,8,28
"485",126863,2018,8,23
"486",126872,2018,8,14
"487",126915,2018,8,8
"488",126942,2018,8,21
"489",126951,2018,8,24
"490",127060,2018,8,12
"491",127158,2018,8,11
"492",127185,2018,8,18
"493",127200,2018,8,18
"494",127316,2018,8,15
"495",127389,2018,8,18
"496",127556,2018,8,20
"497",127565,2018,8,17
"498",127617,2018,8,11
"499",127653,2018,8,9
"500",127714,2018,8,6
"501",127732,2018,8,17
"502",127741,2018,8,17
"503",127778,2018,8,15
"504",127787,2018,8,24
"505",127820,2018,8,20
"506",127884,2018,8,19
"507",127909,2018,8,21
"508",127918,2018,8,14
"509",127945,2018,8,8
"510",127954,2018,8,15
"511",128106,2018,8,14
"512",128151,2018,8,22
"513",128179,2018,8,21
"514",128188,2018,8,22
"515",128258,2018,8,11
"516",128328,2018,8,8
"517",128337,2018,8,18
"518",128391,2018,8,14
"519",128498,2018,9,13
"520",128577,2018,9,15
"521",128586,2018,36,7
"522",128674,2018,9,16
"523",128744,2018,9,16
"524",128771,2018,9,16
"525",128780,2018,9,12
"526",128896,2018,9,15
"527",128902,2018,9,9
